,Ernst & Young,Arthur Andersen,MSI,IGAF,AGN,BDO,Grant Thornton,Horwath,KPMG,Summit & Baker,RSM,Moores Rowland,HLB,Moore Stephens,Nexia,PKF,Fiducial,PWC,Impiric,TMP,Hakuhodo,Draft Worldwide,Densu Y & R,D'Arcy,FCB,Saatchi & Saatchi,O&M,BBDO,McCann Erickson,J Walter Thompson,Euro RSCG,CMG,Asatsu DK,West LB,Dresdner,Commerzbank,Deutsche,Chase,BNP Paribas,ABN Amro,CSFB,Rabobank,UBS,ING,Barclays,Fuji,BHV,BLG,Sakura,Sumitomo,Sanwa,JP Morgan,BTM,DKB,HSBC,Citibank,Allianz,Skandia,Chubb,Prudential,Reliance,Winterthur,Fortis,CGNU,Liberty,Royal & Sun,Lloyds,Latham & Watkins,Morgan Lewis,Baker & McKenzie,Clifford Chance,Jones Day,FBD,Allen & Overy,Dorsey & Whitney,Linklaters,White & Case,Cameron McKenna,Morrison & Foerster,Lovells,Skadden,Sidley & Austin,Coudert,Towers Perrin,Logica,Watson Wyatt,Sema,CSC,Hewitt,IBM,Mercer,Boston,Deloitte,BoozeA&M,A.T. Kearney,McKinsey,Bain,Compass,Andersen Consulting,Gemini,Total
BANDA SERI BEGAWAN,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,19
BANDUNG,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BANGALORE,2,2,0,0,1,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,2,3,0,2,0,2,2,2,3,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,58
BANGKOK,0,0,2,0,1,2,2,3,3,0,2,2,2,2,2,2,0,2,0,0,3,2,3,2,2,2,2,2,2,0,0,0,3,2,0,2,2,2,3,0,2,3,0,3,2,3,0,2,3,3,3,2,4,3,2,2,2,0,2,2,0,1,2,3,0,2,0,0,0,3,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,0,0,2,3,0,2,2,2,0,2,0,0,2,0,142
BARCELONA,2,2,2,2,2,0,0,2,2,0,2,3,3,2,2,2,3,2,2,3,0,0,2,2,2,0,2,3,3,3,0,0,0,0,0,2,4,2,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,0,2,0,3,3,0,3,0,3,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,0,2,2,2,116
BASEL,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BATAM,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BEIJING,0,2,0,0,0,1,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,0,3,2,2,2,2,2,2,2,2,0,4,2,3,2,2,3,2,2,2,2,0,3,3,2,2,3,2,3,2,2,2,2,2,0,2,0,2,0,0,2,2,2,0,0,0,0,0,2,2,0,2,1,0,0,0,2,2,2,2,0,0,0,2,2,3,0,2,2,2,0,0,0,2,2,2,0,2,0,142
BEIRUT,2,2,0,2,2,2,2,4,2,0,2,2,3,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,76
BELFAST,2,0,0,0,1,0,0,2,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
